source_file,model,sir_id,report_date,incident_date,location_details,dead_confirmed,injured_confirmed,missing_confirmed,dead_possible_min,dead_possible_max,confidenza,evidence_pages,evidenza_testuale,note_contesto
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf,gemini-2.5-flash,10276/2017,2017-01-30,2017-01-30,"Hotspot, Text removed - Operational Area",1,,,,,alta,7,"Migrant found dead in his tent, there was found a dead body in one of the tents in hotspot, the person was asphyxiated by fumes from ""heating system"".","A migrant was found dead in his tent in a hotspot, reportedly asphyxiated by fumes from a 'heating system'. Frontex staff were not involved."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf,gemini-2.5-flash,10273/2017,2017-01-28,2017-01-28,Hotspot,1,,,,,alta,9,"Dead body found in Hotspot, there was found dead body in one of the tents. As reported by Hellenic Police Coordinator, the dead person is a 32 year old SYR national, male.","A 32-year-old Syrian national, male, was found dead in a tent in a hotspot. The incident caused tensions among migrants."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf,gemini-2.5-flash,10207/2017,2017-07-10,2017-07-10,hotspot Text removed - Operational Area,,0,,,,alta,"1,2",up to now no injuries have been reported.,"Violent unrest and fire in a hotspot, but no injuries reported."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf,gemini-2.5-flash,10156/2017,2017-04-11,2017-04-10,Minors section of RIC Text removed - Operational Area,,0,,,,alta,3,no one was injured.,"Riot in the minors section of RIC, but no injuries reported."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf,gemini-2.5-flash,10155/2017,2017-04-07,2017-04-06,HotSpot Text removed - Operational Area,,1,,,,alta,5,A Syrian male had a panic attack... The migrant was given immediate medical attention... quickly transported to hospital.,A Syrian male had a panic attack during fingerprinting and was transported to hospital.
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf,gemini-2.5-flash,10154/2017,2017-04-07,2017-04-06,HotSpot Text removed - Reporting Tolls,,0,,,,alta,7,No persons were injured during the incident.,"Fire in a temporary housing container in a hotspot, but no injuries reported."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf,gemini-2.5-flash,10299/2017,2017-03-20,2017-03-16,Text removed - Operational Area,0,,,,,media,"9,10","Dead persons: 0, Estimated people on board 47, Embarking 40 migrants to CPB and safely disembarked them","SAR operation for a rubber boat with 47 estimated people on board. 40 migrants were safely disembarked. No dead or injured reported, but a discrepancy exists between estimated and disembarked numbers."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf,gemini-2.5-flash,10227/2017,2017-10-20,2017-10-20,Lesvos,1,0,0,,,alta,1,"44 years old Iraqi men who arrived in Lesvos on the 6th of September 2017 , has been found dead at in the tent in . In upcoming days there is planned an autopsy but after initial assesment done by doctor from local hospital the person has died because of heart attack.","A 44-year-old Iraqi man was found dead in a tent in Lesvos, suspected to have died of a heart attack."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf,gemini-2.5-flash,10224/2017,2017-10-04,2017-10-02,Sea area of Text removed - Operational Area,0,0,0,,,alta,3,"Dead persons: 0, Injured persons: 0, Missing persons: 0, Estimated people on board: 5","SAR operation for a boat in distress with 5 estimated people on board, no casualties reported."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf,gemini-2.5-flash,10215/2017,2017-08-11,2017-08-11,Text removed - Operational Area,0,1,0,,,alta,"5,6","Subject: CBV crew member injured during a SAR operation, During this SAR operation a suffered small injures in one of his legs.",A SAR operation for a migrant vessel with 23 people on board resulted in one crew member sustaining minor injuries to his leg during the transfer of migrants.
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf,gemini-2.5-flash,10209/2017,2017-07-22,2017-07-21,Text removed - Operational Area,0,1,0,,,alta,7,"Injured persons: 1, Subject: Unilateral traffic accident FX member, On July 21st, around a FX had a motorbike accident by himself.",A Frontex member was involved in a unilateral motorbike accident and sustained injuries.
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf,gemini-2.5-flash,10211/2017,2017-07-19,2017-07-17,Text removed - Operational Area,0,10,0,,,alta,"9,10","Injured persons: 10, There have been several injuries among protesters. 2 HP officers have been injured as well.",Incidents involving aggressive migrants throwing stones and damaging vehicles. The form states 10 injured persons. The narrative specifies 'several injuries among protesters' and '2 HP officers have been injured'.
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf,gemini-2.5-flash,10248/2017,2017-11-02,2017-11-02,Text removed - Operational Area,1,0,0,,,alta,1,"The HP officer who was working as a (deployment co-financed by Frontex) in has been found dead in his hotel room. Supposedly, the officer has died from heart attack.","An HP officer deployed by Frontex was found dead in his hotel room, supposedly due to a heart attack."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf,gemini-2.5-flash,10247/2017,2017-11-02,2017-11-02,Text removed - Operational Area,0,,0,,,media,3,At least two migrants have been injured (TBC). Initial medical examination provided by doctors in the camp (no serious injuries reported).,"A fight between migrants resulted in at least two injuries, pending confirmation, with no serious injuries reported."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf,gemini-2.5-flash,10231/2017,2017-10-26,2017-10-25,Text removed - Operational Area,0,1,0,,,alta,5,migrant accommodated in tried to commit suicide by cutting veins. was taken to hospital but iinjuries are not life threatening.,"A migrant attempted suicide by cutting veins, sustained non-life-threatening injuries, and was hospitalized."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf,gemini-2.5-flash,10229/2017,2017-10-23,2017-10-23,Text removed - Operational Area,0,0,0,,,alta,7,Arabic and Kurdish migrants (group around 40-50 persons) have started a protest... situation seems to be calm. No Frontex staff involved.,"A protest by migrants over slow asylum procedures, with no reported casualties."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf,gemini-2.5-flash,10228/2017,2017-10-21,2017-10-20,Text removed - Operational Area,0,2,0,,,alta,9,"HP handled the situation, 2 migrants were slightly injured, some items inside the containers were damaged.",Tensions between Iraqi and Kurdish migrants resulted in two slightly injured migrants.
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_6_redacted.pdf,gemini-2.5-flash,10256/2017,2017-11-20,2017-11-19,,0,0,0,,,media,1,No information about injured people during the incident.,"A riot occurred in RIC, causing property damage. The report explicitly states no information about injured people was available, and no Frontex staff were involved. No mention of dead or missing persons."
pdfs/pad-2025-00475/11267_2024_redacted.pdf,gemini-2.5-flash,11267/2024,2024-03-27,2024-03-25,,0,1,0,,,alta,1,"On Tue 26 Mar, ICC Poseidon Sea informed by email the FSC/ that one of the had been hospitalized","One person involved in the operation was hospitalized, leading to a reduction in workforce and affecting Frontex missions. The illness was not connected to Frontex activities."
pdfs/pad-2025-00475/13045_2022.pdf,gemini-2.5-flash,13045/2022,2023-01-11,2022-06-05,"Libyan Search and Rescue Region (SRR), Maltese SRR. Migrant boat departed from Libya. Rescue by Libyan vessel.",,2,,,,alta,"1,2,3,4",reported instances of violence against two (2) migrants by at least three (3) crew members of the Libyan vessel,"Frontex surveillance aircraft detected a migrant boat in the Libyan/Maltese SRR. A Libyan vessel performed the rescue. Instances of violence against two migrants by Libyan crew members were observed. The Fundamental Rights Office expressed concern regarding the ill-treatment and the lack of clarity from Maltese authorities on SAR coordination and non-refoulement, noting Libya is not a safe port."
